model,total_evaluated,match_f1,kendall_tau,tau_norm,lis_ratio,precision,recall,avg_steps,avg_matched,ordered_f1_kt_a0.00,ordered_f1_lis_a0.00,ordered_f1_kt_a0.10,ordered_f1_lis_a0.10,ordered_f1_kt_a0.20,ordered_f1_lis_a0.20,ordered_f1_kt_a0.30,ordered_f1_lis_a0.30,ordered_f1_kt_a0.50,ordered_f1_lis_a0.50
InternVL3.5-38B,6372,0.6117575544533267,0.2502370699173069,0.6251185349586534,0.6433795614060497,0.8922039632012505,0.4978382158493363,5.765693659761457,5.464846202134337,0.6117575544533267,0.6117575544533267,0.5865384957259347,0.5870330627284686,0.5613194369985429,0.5623085710036105,0.5361003782711509,0.5375840792787524,0.4856622608163671,0.48813509582903614
InternVL3.5-8B,6372,0.530312203791348,0.3321837212576544,0.6660918606288272,0.6921831771342869,0.8816725849358894,0.4158955938423877,4.965473948524796,4.777777777777778,0.530312203791348,0.530312203791348,0.5090585425286103,0.5098118747546992,0.48780488126587246,0.48931154571805047,0.46655122000313465,0.46881121668140174,0.424043897477659,0.4278105586081041
InternVL3.5-4B,6372,0.43181823186927676,0.5144942251646408,0.7572471125823205,0.7745384456473412,0.8953551656397305,0.325080699722396,3.751412429378531,3.662900188323917,0.43181823186927676,0.43181823186927676,0.416466089515121,0.4170030566145637,0.40111394716096516,0.4021878813598507,0.3857618048068094,0.3873727061051375,0.3550575200984977,0.35774235559571144
InternVL3.5-2B,6372,0.46867693685601153,0.39330494864448556,0.6966524743222429,0.7306411380203891,0.7249622971892832,0.37077535108269405,3.9232580037664784,3.8297237915881985,0.46867693685601153,0.46867693685601153,0.44921357452164734,0.4507192400964675,0.4297502121872832,0.4327615433369236,0.410286849852919,0.4148038465773797,0.3713601251841907,0.37888845305829183
InternVL3.5-1B,6372,0.33007529026288185,0.5029140917323591,0.7514570458661797,0.8070890346314074,0.6155712247998402,0.2432939505521315,2.5094161958568737,2.4617074701820463,0.33007529026288185,0.33007529026288185,0.3165916560317984,0.3189661989687286,0.30310802180071494,0.30785710767457525,0.28962438756963144,0.296748016380422,0.2626571191074646,0.2745298337921153
Gemma3-12B,6372,0.6049400814513036,0.3354257511335255,0.6677128755667626,0.6726507116411964,0.8383716143935318,0.4991178121741242,5.508631512868801,5.293785310734464,0.6049400814513036,0.6049400814513036,0.5813241740592818,0.581231673968771,0.5577082666672597,0.5575232664862383,0.5340923592752377,0.5338148590037056,0.4868605444911938,0.4863980440386403
Gemma3-4B,6372,0.6179460853756222,0.3157156977242177,0.6578578488621089,0.6680584140781,0.8780664705171661,0.5058962090000668,5.72112366603892,5.48038292529818,0.6179460853756222,0.6179460853756222,0.5942152953674658,0.5943325546776594,0.5704845053593093,0.5707190239796966,0.5467537153511528,0.5471054932817337,0.4992921353348398,0.49987843188580805
Llama 3.2-11B,6372,0.47054211233370286,0.4067328764073516,0.7033664382036757,0.7255481403397969,0.7133439240242729,0.3794358230385939,4.194601381042059,4.002667922159447,0.47054211233370286,0.47054211233370286,0.45110200551525226,0.45202310876032153,0.43166189869680166,0.4335041051869402,0.4122217918783512,0.4149851016135589,0.37334157824145,0.37794709446679636
LLaVA-v1.6-7B,6372,0.5120369543214667,0.1777959581396493,0.5888979790698247,0.6751404165775635,0.9609277914498947,0.3695114752896089,3.9416195856873824,3.9055241682360324,0.5120369543214667,0.5120369543214667,0.49037938767640377,0.49428685913222487,0.46872182103134086,0.47653676394298294,0.44706425438627784,0.4587866687537409,0.4037491210961521,0.4232864783752572
MiniCPMv2.6-8B,6372,0.21485850106871957,0.6231980076142034,0.8115990038071017,0.8959585437928187,0.7094024639045825,0.13374600678995754,1.307909604519774,1.3041431261770244,0.21485850106871957,0.21485850106871957,0.20799372787765955,0.21096025334052065,0.20112895468659947,0.20706200561232174,0.1942641814955394,0.2031637578841228,0.18053463511341933,0.19536726242772492
