model,total_evaluated,alpha_0.00_match_f1,alpha_0.00_ordered_f1,alpha_0.00_precision,alpha_0.00_recall,alpha_0.00_kendall_tau,alpha_0.00_tau_norm,alpha_0.00_avg_steps,alpha_0.10_match_f1,alpha_0.10_ordered_f1,alpha_0.10_precision,alpha_0.10_recall,alpha_0.10_kendall_tau,alpha_0.10_tau_norm,alpha_0.10_avg_steps,alpha_0.20_match_f1,alpha_0.20_ordered_f1,alpha_0.20_precision,alpha_0.20_recall,alpha_0.20_kendall_tau,alpha_0.20_tau_norm,alpha_0.20_avg_steps,alpha_0.30_match_f1,alpha_0.30_ordered_f1,alpha_0.30_precision,alpha_0.30_recall,alpha_0.30_kendall_tau,alpha_0.30_tau_norm,alpha_0.30_avg_steps,alpha_0.50_match_f1,alpha_0.50_ordered_f1,alpha_0.50_precision,alpha_0.50_recall,alpha_0.50_kendall_tau,alpha_0.50_tau_norm,alpha_0.50_avg_steps
InternVL3.5-38B,5795,0.6726693937837066,0.6726693937837066,0.9810394570350932,0.5474072668493544,0.17558422942417265,0.5877921147120859,6.339775668679897,0.6726693937837066,0.644939308846525,0.9810394570350932,0.5474072668493544,0.17558422942417265,0.5877921147120859,6.339775668679897,0.6726693937837066,0.6172092239093536,0.9810394570350932,0.5474072668493544,0.17558422942417265,0.5877921147120859,6.339775668679897,0.6726693937837066,0.5894791389721746,0.9810394570350932,0.5474072668493544,0.17558422942417265,0.5877921147120859,6.339775668679897,0.6726693937837066,0.5340189690978229,0.9810394570350932,0.5474072668493544,0.17558422942417265,0.5877921147120859,6.339775668679897
InternVL3.5-8B,5687,0.5941883880004302,0.5941883880004302,0.9878701795694552,0.46599028028199696,0.2517451506688542,0.6258725753344258,5.563566027782662,0.5941883880004302,0.5703747200619432,0.9878701795694552,0.46599028028199696,0.2517451506688542,0.6258725753344258,5.563566027782662,0.5941883880004302,0.5465610521234616,0.9878701795694552,0.46599028028199696,0.2517451506688542,0.6258725753344258,5.563566027782662,0.5941883880004302,0.522747384184976,0.9878701795694552,0.46599028028199696,0.2517451506688542,0.6258725753344258,5.563566027782662,0.5941883880004302,0.4751200483080081,0.9878701795694552,0.46599028028199696,0.2517451506688542,0.6258725753344258,5.563566027782662
InternVL3.5-4B,5746,0.47886282169700506,0.47886282169700506,0.9928999504797011,0.3604967314011624,0.461600627001235,0.7308003135006175,4.160111381830839,0.47886282169700506,0.4618381347703267,0.9928999504797011,0.3604967314011624,0.461600627001235,0.7308003135006175,4.160111381830839,0.47886282169700506,0.44481344784365284,0.9928999504797011,0.3604967314011624,0.461600627001235,0.7308003135006175,4.160111381830839,0.47886282169700506,0.42778876091697754,0.9928999504797011,0.3604967314011624,0.461600627001235,0.7308003135006175,4.160111381830839,0.47886282169700506,0.3937393870636277,0.9928999504797011,0.3604967314011624,0.461600627001235,0.7308003135006175,4.160111381830839
InternVL3.5-2B,4679,0.6382580554918791,0.6382580554918791,0.9872750069865592,0.5049327927118942,0.1737848114474592,0.5868924057237302,5.342808292370164,0.6382580554918791,0.6117522754545696,0.9872750069865592,0.5049327927118942,0.1737848114474592,0.5868924057237302,5.342808292370164,0.6382580554918791,0.5852464954172628,0.9872750069865592,0.5049327927118942,0.1737848114474592,0.5868924057237302,5.342808292370164,0.6382580554918791,0.5587407153799528,0.9872750069865592,0.5049327927118942,0.1737848114474592,0.5868924057237302,5.342808292370164,0.6382580554918791,0.5057291553053339,0.9872750069865592,0.5049327927118942,0.1737848114474592,0.5868924057237302,5.342808292370164
InternVL3.5-1B,3950,0.5324657593810354,0.5324657593810354,0.9930176821328052,0.3924731779539688,0.19811863101736557,0.5990593155086806,4.048101265822785,0.5324657593810354,0.5107144385404114,0.9930176821328052,0.3924731779539688,0.19811863101736557,0.5990593155086806,4.048101265822785,0.5324657593810354,0.48896311769978873,0.9930176821328052,0.3924731779539688,0.19811863101736557,0.5990593155086806,4.048101265822785,0.5324657593810354,0.4672117968591632,0.9930176821328052,0.3924731779539688,0.19811863101736557,0.5990593155086806,4.048101265822785,0.5324657593810354,0.42370915517791485,0.9930176821328052,0.3924731779539688,0.19811863101736557,0.5990593155086806,4.048101265822785
Gemma3-12B,5430,0.7098854878467181,0.7098854878467181,0.983812877885006,0.5857051011369301,0.2201349698384571,0.6100674849192289,6.46427255985267,0.7098854878467181,0.682172677183374,0.983812877885006,0.5857051011369301,0.2201349698384571,0.6100674849192289,6.46427255985267,0.7098854878467181,0.6544598665200267,0.983812877885006,0.5857051011369301,0.2201349698384571,0.6100674849192289,6.46427255985267,0.7098854878467181,0.6267470558566819,0.983812877885006,0.5857051011369301,0.2201349698384571,0.6100674849192289,6.46427255985267,0.7098854878467181,0.5713214345299956,0.983812877885006,0.5857051011369301,0.2201349698384571,0.6100674849192289,6.46427255985267
Gemma3-4B,5692,0.6917695811689124,0.6917695811689124,0.9829654866717122,0.566333563553837,0.23396704601172097,0.6169835230058601,6.404602951510893,0.6917695811689124,0.6652037705694755,0.9829654866717122,0.566333563553837,0.23396704601172097,0.6169835230058601,6.404602951510893,0.6917695811689124,0.6386379599700434,0.9829654866717122,0.566333563553837,0.23396704601172097,0.6169835230058601,6.404602951510893,0.6917695811689124,0.6120721493706114,0.9829654866717122,0.566333563553837,0.23396704601172097,0.6169835230058601,6.404602951510893,0.6917695811689124,0.5589405281717468,0.9829654866717122,0.566333563553837,0.23396704601172097,0.6169835230058601,6.404602951510893
Llama 3.2-11B,4630,0.6475797710130398,0.6475797710130398,0.9817337978148303,0.5221954782725582,0.1835209262349129,0.5917604631174566,5.772786177105831,0.6475797710130398,0.6208254814564098,0.9817337978148303,0.5221954782725582,0.1835209262349129,0.5917604631174566,5.772786177105831,0.6475797710130398,0.5940711918997862,0.9817337978148303,0.5221954782725582,0.1835209262349129,0.5917604631174566,5.772786177105831,0.6475797710130398,0.5673169023431616,0.9817337978148303,0.5221954782725582,0.1835209262349129,0.5917604631174566,5.772786177105831,0.6475797710130398,0.5138083232299181,0.9817337978148303,0.5221954782725582,0.1835209262349129,0.5917604631174566,5.772786177105831
LLaVA-v1.6-7B,6159,0.5297450029122246,0.5297450029122246,0.9941600725959936,0.38229048880425365,0.14936123482153743,0.574680617410767,4.077934729663906,0.5297450029122246,0.5073384410251697,0.9941600725959936,0.38229048880425365,0.14936123482153743,0.574680617410767,4.077934729663906,0.5297450029122246,0.4849318791381252,0.9941600725959936,0.38229048880425365,0.14936123482153743,0.574680617410767,4.077934729663906,0.5297450029122246,0.4625253172510731,0.9941600725959936,0.38229048880425365,0.14936123482153743,0.574680617410767,4.077934729663906,0.5297450029122246,0.4177121934769724,0.9941600725959936,0.38229048880425365,0.14936123482153743,0.574680617410767,4.077934729663906
MiniCPMv2.6-8B,4531,0.302158103908601,0.302158103908601,0.9976412491723682,0.18808862398269902,0.47009880920717323,0.7350494046035859,1.8393290664312514,0.302158103908601,0.29250409049579285,0.9976412491723682,0.18808862398269902,0.47009880920717323,0.7350494046035859,1.8393290664312514,0.302158103908601,0.28285007708298765,0.9976412491723682,0.18808862398269902,0.47009880920717323,0.7350494046035859,1.8393290664312514,0.302158103908601,0.27319606367017724,0.9976412491723682,0.18808862398269902,0.47009880920717323,0.7350494046035859,1.8393290664312514,0.302158103908601,0.25388803684456057,0.9976412491723682,0.18808862398269902,0.47009880920717323,0.7350494046035859,1.8393290664312514
